Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural raw materials exports (% of merchandise exports) [TX.VAL.AGRI.ZS.UN],Average time to clear exports through customs (days) [IC.CUS.DURS.EX],Insurance and financial services (% of commercial service exports) [TX.VAL.INSF.ZS.WT],"International tourism, receipts (% of total exports) [ST.INT.RCPT.XP.ZS]",Profit tax (% of commercial profits) [IC.TAX.PRFT.CP.ZS]
1990,YR1990,Afghanistan,AFG,1.85278199408184,..,..,..,..,..
1990,YR1990,Australia,AUS,17.4273589940513,10.5178902956554,..,5.74022998327902,..,..
1990,YR1990,China,CHN,16.7380065507416,..,..,3.94919972164231,..,..
1990,YR1990,Finland,FIN,71.818936931613,9.61458430043817,..,0.135534622965299,..,..
1990,YR1990,France,FRA,26.3639451682537,1.86003478006849,..,14.604666401169,..,..
1990,YR1990,India,IND,21.5048483278902,4.05073074109245,..,2.67490271487381,..,..
1990,YR1990,Indonesia,IDN,65.4377142478624,5.06564546098474,..,..,..,..
1990,YR1990,Japan,JPN,68.4311574328031,0.554638393042057,..,..,..,..
1990,YR1990,Pakistan,PAK,6.46895755500208,10.2119078352637,..,1.38402494072628,..,..
1990,YR1990,United Arab Emirates,ARE,3.44973246972684,..,..,..,..,..
1990,YR1990,United States,USA,33.0223082096657,4.5062028691708,..,3.46291331546023,..,..
1990,YR1990,United Kingdom,GBR,11.4826602736329,1.05345908655774,..,16.4315303836138,..,..
2000,YR2000,Afghanistan,AFG,1.85278199408184,..,..,..,..,..
2000,YR2000,Australia,AUS,17.1581557606446,6.05812122082181,..,5.5963852889978,13.8041313058601,..
2000,YR2000,China,CHN,18.8534727562839,1.13361176781451,..,0.236672425934573,9.11284789262419,..
2000,YR2000,Finland,FIN,73.6913227617453,6.32942409004406,..,-0.433387989579663,3.85561703756479,..
2000,YR2000,France,FRA,27.9198709929561,1.09500735503525,..,2.55560007700674,9.91854549584506,..
2000,YR2000,India,IND,22.7334950003195,1.25928051395496,..,3.32463648855732,6.00350085316649,..
2000,YR2000,Indonesia,IDN,53.943528667353,3.60207299459181,..,..,..,..
2000,YR2000,Japan,JPN,68.2469135802469,0.464236345674983,..,4.43736676317994,1.13991525916592,..
2000,YR2000,Pakistan,PAK,5.85209111664591,2.95094176924683,..,1.20578778135048,5.51165349604882,..
2000,YR2000,United Arab Emirates,ARE,4.35694170656153,0.0350728403573368,..,..,..,..
2000,YR2000,United States,USA,33.1301735880689,2.31176589061403,..,11.3626686329695,10.9252217529332,..
2000,YR2000,United Kingdom,GBR,12.2101434299177,0.465309737288245,..,24.5368781029516,..,..
2013,YR2013,Afghanistan,AFG,1.85278199408184,0.0369922318818034,..,6.11786773775258,12.9409894650749,0
2013,YR2013,Australia,AUS,17.1400674277235,2.99470589444734,..,6.31116672076087,10.6077643522441,26.1
2013,YR2013,China,CHN,21.9872244030306,0.460667222328343,..,3.4898006544672,..,10.6
2013,YR2013,Finland,FIN,73.5206818256606,7.22542565529621,..,2.12811734545752,5.59634955591962,14.1
2013,YR2013,France,FRA,30.4428580038243,0.96565485022917,..,9.08985791596872,7.8957202640042,6.2
2013,YR2013,India,IND,23.6430231502191,2.82993900019101,..,5.72949481454682,4.06642763077828,23.7
2013,YR2013,Indonesia,IDN,51.6002341387757,5.85554002487058,..,1.24902266814666,5.02455380642221,21.2
2013,YR2013,Japan,JPN,68.4576131687243,0.864252610632454,..,3.54508387782713,2.03109971342358,26.6
2013,YR2013,Pakistan,PAK,5.18505085097551,2.30259906544054,11.4,4.29132668479903,3.12219152548015,18.7
2013,YR2013,United Arab Emirates,ARE,4.46775556181357,0.0581320261763272,..,..,..,0
2013,YR2013,United States,USA,33.8395963014708,2.39135511961373,..,17.9838695804256,9.21286537167917,28.2
2013,YR2013,United Kingdom,GBR,12.8822386640764,0.60524066619391,..,30.7699685774225,..,21.7
2014,YR2014,Afghanistan,AFG,1.85278199408184,0.0475230217083274,8.1,12.8422269314649,6.09459211041441,0
2014,YR2014,Australia,AUS,17.232446012262,2.76493060320893,..,6.40367910475383,11.9249795553945,26.1
2014,YR2014,China,CHN,22.1935229193294,0.468830450662847,..,4.17497810316972,..,10.6
2014,YR2014,Finland,FIN,73.6305900161243,6.85471894849161,..,1.8502206340152,5.39647483692477,14.6
2014,YR2014,France,FRA,30.5951709137131,0.977679040918057,..,7.01061198165595,7.8971017904675,5.4
2014,YR2014,India,IND,23.732623882093,2.17094784216849,5.8,5.060903787575,4.27444906724364,23.4
2014,YR2014,Indonesia,IDN,51.1068915947056,4.94089322085448,..,1.08469022197755,5.81771624956107,19.7
2014,YR2014,Japan,JPN,68.4455418381344,0.852696457277467,..,5.56262500251447,2.40911203154826,28
2014,YR2014,Pakistan,PAK,5.14324667911997,1.98166083599108,..,5.48986486486486,3.1738249329934,18.7
2014,YR2014,United Arab Emirates,ARE,4.46775556181357,0.0701138120051121,..,..,..,0
2014,YR2014,United States,USA,33.8696594230942,2.2935676509223,..,18.5198194630545,9.30973793087307,28.2
2014,YR2014,United Kingdom,GBR,12.9616004629438,0.644393561245576,..,28.9514911818295,..,20.6
2015,YR2015,Afghanistan,AFG,1.85278199408184,14.7990666661461,..,7.75949183360565,6.06787319983375,0
2015,YR2015,Australia,AUS,17.3248245968004,2.96531758830698,..,6.40548436380703,14.9107643129797,26
2015,YR2015,China,CHN,22.3998214356282,0.418118022595575,..,3.37934511845447,..,10.9
2015,YR2015,Finland,FIN,73.7356454213418,7.7601889109388,..,1.92405161098808,4.83112654437113,11.8
2015,YR2015,France,FRA,30.7474838236019,0.954577498742947,..,6.2452312273706,8.54497470784461,-0.2
2015,YR2015,India,IND,23.8222246139668,1.7736046518473,..,4.70680053586179,5.00943815317626,23.4
2015,YR2015,Indonesia,IDN,50.6135490506354,5.00288548118125,8.3,1.39877609945468,7.03491461479772,20.2
2015,YR2015,Japan,JPN,68.4334705075446,0.839925288691497,..,7.49512784882697,3.47707717432204,28
2015,YR2015,Pakistan,PAK,5.10144250726443,1.38178945724839,..,4.68343451864701,3.19885330722976,18.6
2015,YR2015,United Arab Emirates,ARE,4.46775556181357,0.0754647340805313,..,..,..,0
2015,YR2015,United States,USA,33.8997225447175,2.26473634136667,..,17.5429324877622,10.1094096508835,28.1
